Batter,Runs,Innings,BallsFaced,Boundaries,DotBalls,Matches,Average,StrikeRate,RunsPerInnings,RunsPerMatch,BoundaryPercentage,DotBallPercentage,TestScore,Format,ODIScore,T20Score
A Athanaze,781,17,1492,95,1104,17,45.94117647058823,52.34584450402144,45.94117647058823,45.94117647058823,0.06367292225201072,0.739946380697051,45.94117647058823,Test,,
A Balbirnie,402,10,818,49,610,10,40.2,49.1442542787286,40.2,40.2,0.05990220048899755,0.7457212713936431,40.2,Test,,
A Bosch,88,4,193,14,155,4,22.0,45.59585492227979,22.0,22.0,0.07253886010362694,0.8031088082901554,22.0,Test,,
A Brindle,75,3,242,13,211,3,25.0,30.991735537190085,25.0,25.0,0.05371900826446281,0.871900826446281,25.0,Test,,
A Chopra,221,4,672,27,567,4,55.25,32.88690476190476,55.25,55.25,0.04017857142857143,0.84375,55.25,Test,,
A Dananjaya,135,6,254,14,186,6,22.5,53.14960629921261,22.5,22.5,0.05511811023622047,0.7322834645669292,22.5,Test,,
A Dercksen,60,2,128,12,104,2,30.0,46.875,30.0,30.0,0.09375,0.8125,30.0,Test,,
A Flintoff,2228,38,3689,327,2713,38,58.63157894736842,60.39577121171049,58.63157894736842,58.63157894736842,0.08864190837625373,0.735429655733261,58.63157894736842,Test,,
A Gardner,326,8,567,43,409,8,40.75,57.49559082892416,40.75,40.75,0.07583774250440917,0.7213403880070547,40.75,Test,,
A Hlubi,6,2,24,1,21,2,3.0,25.0,3.0,3.0,0.041666666666666664,0.875,3.0,Test,,
A Kamboj,0,1,3,0,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Test,,
A King,74,6,188,12,156,6,12.333333333333334,39.361702127659576,12.333333333333334,12.333333333333334,0.06382978723404255,0.8297872340425532,12.333333333333334,Test,,
A Kumble,893,38,2230,118,1782,38,23.5,40.044843049327355,23.5,23.5,0.05291479820627803,0.7991031390134529,23.5,Test,,
A Lyth,265,7,532,41,423,7,37.857142857142854,49.81203007518797,37.857142857142854,37.857142857142854,0.07706766917293233,0.7951127819548872,37.857142857142854,Test,,
A McGrath,34,1,70,5,55,1,34.0,48.57142857142857,34.0,34.0,0.07142857142857142,0.7857142857142857,34.0,Test,,
A Mishra,648,19,1108,82,776,19,34.10526315789474,58.48375451263538,34.10526315789474,34.10526315789474,0.0740072202166065,0.7003610108303249,34.10526315789474,Test,,
A Mithun,120,4,249,16,191,4,30.0,48.19277108433735,30.0,30.0,0.0642570281124498,0.7670682730923695,30.0,Test,,
A Mukund,320,7,705,33,535,7,45.714285714285715,45.39007092198582,45.714285714285715,45.714285714285715,0.04680851063829787,0.7588652482269503,45.714285714285715,Test,,
A Ndlovu,9,2,40,2,37,2,4.5,22.5,4.5,4.5,0.05,0.925,4.5,Test,,
A Nehra,1,2,11,0,10,2,0.5,9.090909090909092,0.5,0.5,0.0,0.9090909090909091,0.5,Test,,
A Nel,300,22,600,42,467,22,13.636363636363637,50.0,13.636363636363637,13.636363636363637,0.07,0.7783333333333333,13.636363636363637,Test,,
A Nortje,187,18,620,27,536,18,10.38888888888889,30.161290322580648,10.38888888888889,10.38888888888889,0.043548387096774194,0.864516129032258,10.38888888888889,Test,,
A Phillip,132,6,423,17,360,6,22.0,31.20567375886525,22.0,22.0,0.04018912529550828,0.851063829787234,22.0,Test,,
A Shahzad,5,1,12,1,10,1,5.0,41.66666666666667,5.0,5.0,0.08333333333333333,0.8333333333333334,5.0,Test,,
A Sharma,65,1,112,13,89,1,65.0,58.03571428571429,65.0,65.0,0.11607142857142858,0.7946428571428571,65.0,Test,,
A Shrubsole,111,7,298,15,242,7,15.857142857142858,37.24832214765101,15.857142857142858,15.857142857142858,0.050335570469798654,0.8120805369127517,15.857142857142858,Test,,
A Steyn,11,1,29,1,23,1,11.0,37.93103448275862,11.0,11.0,0.034482758620689655,0.7931034482758621,11.0,Test,,
A Sutherland,715,7,1118,94,774,7,102.14285714285714,63.95348837209303,102.14285714285714,102.14285714285714,0.08407871198568873,0.6923076923076923,102.14285714285714,Test,,
A Symonds,1386,23,2050,176,1401,23,60.26086956521739,67.60975609756098,60.26086956521739,60.26086956521739,0.08585365853658537,0.6834146341463415,60.26086956521739,Test,,
A Wellington,2,1,12,0,10,1,2.0,16.666666666666664,2.0,2.0,0.0,0.8333333333333334,2.0,Test,,
AA Jangoo,30,1,56,3,38,1,30.0,53.57142857142857,30.0,30.0,0.05357142857142857,0.6785714285714286,30.0,Test,,
AAP Atkinson,453,15,577,60,370,15,30.2,78.50953206239168,30.2,30.2,0.10398613518197573,0.6412478336221837,30.199999999999996,Test,,
AB Agarkar,88,3,144,10,100,3,29.333333333333332,61.111111111111114,29.333333333333332,29.333333333333332,0.06944444444444445,0.6944444444444444,29.333333333333332,Test,,
AB Barath,657,15,1389,99,1104,15,43.8,47.30021598272138,43.8,43.8,0.07127429805615551,0.7948164146868251,43.8,Test,,
AB Fudadin,122,3,380,15,314,3,40.666666666666664,32.10526315789474,40.666666666666664,40.666666666666664,0.039473684210526314,0.8263157894736842,40.666666666666664,Test,,
AB McDonald,107,4,218,11,163,4,26.75,49.08256880733945,26.75,26.75,0.05045871559633028,0.7477064220183486,26.75,Test,,
AB de Villiers,8182,105,14971,1007,10764,105,77.92380952380952,54.65232783381203,77.92380952380952,77.92380952380952,0.06726337585999599,0.7189900474250217,77.92380952380952,Test,,
AC Agar,195,4,352,27,263,4,48.75,55.39772727272727,48.75,48.75,0.07670454545454546,0.7471590909090909,48.75,Test,,
AC Gilchrist,2005,38,2384,283,1482,38,52.76315789473684,84.10234899328859,52.76315789473684,52.76315789473684,0.11870805369127517,0.6216442953020134,52.76315789473684,Test,,
AC Voges,1485,19,2672,191,1911,19,78.15789473684211,55.57634730538922,78.15789473684211,78.15789473684211,0.07148203592814371,0.7151946107784432,78.15789473684211,Test,,
